Key,日期,科目,項目,金額,備註1,備註2,編輯
2359,2014-01-03,5.支出,雜費,460,電子零件,光華,
2405,2014-01-08,5.支出,電信費,682,0988538527,2012-12,
2657,2014-01-31,5.支出,餐費,20363,刷卡手續費,,
2568,2014-01-29,5.支出,餐費,330,晚餐,3人,
2572,2014-01-29,5.支出,餐費,550,中餐,6人,
2560,2014-01-28,5.支出,餐費,420,午餐,6人,
2561,2014-01-28,5.支出,餐費,474,晚餐,6人,
2555,2014-01-27,5.支出,餐費,350,午餐,4人,
2557,2014-01-27,5.支出,餐費,650,晚餐,5人,
2551,2014-01-26,5.支出,餐費,445,午餐,5人,
2552,2014-01-26,5.支出,餐費,1427,晚餐,5人,
2545,2014-01-25,5.支出,餐費,473,午餐,5人,
2546,2014-01-25,5.支出,餐費,600,晚餐,6人,
2535,2014-01-24,5.支出,餐費,398,中餐,5人,
2538,2014-01-24,5.支出,餐費,525,晚餐,5人,
2529,2014-01-23,5.支出,餐費,200,中餐,2人,
2531,2014-01-23,5.支出,餐費,440,晚餐,4人,
2525,2014-01-22,5.支出,餐費,345,午餐,5人,
2526,2014-01-22,5.支出,餐費,437,晚餐,4人,
2517,2014-01-21,5.支出,餐費,400,晚餐,4人,
2519,2014-01-21,5.支出,餐費,420,午餐,4人,
2521,2014-01-21,5.支出,餐費,420,晚餐,5人,
2507,2014-01-20,5.支出,餐費,361,午餐,4人,
2508,2014-01-20,5.支出,餐費,270,晚餐,6人,
2504,2014-01-19,5.支出,餐費,330,午餐,5人,
2499,2014-01-18,5.支出,餐費,600,午餐,6人,
2500,2014-01-18,5.支出,餐費,1080,晚餐,7人,
2493,2014-01-17,5.支出,餐費,765,午餐,7人,
2494,2014-01-17,5.支出,餐費,250,晚餐,6人,
2479,2014-01-16,5.支出,餐費,400,午餐,4人,
2480,2014-01-16,5.支出,餐費,790,晚餐,6人,
2466,2014-01-15,5.支出,餐費,380,晚餐,4人,
2467,2014-01-15,5.支出,餐費,240,午餐,3人,
2459,2014-01-14,5.支出,餐費,360,午餐,4人,
2462,2014-01-14,5.支出,餐費,650,晚餐,5人,
2454,2014-01-13,5.支出,餐費,479,中餐,4人,
2455,2014-01-13,5.支出,餐費,474,晚餐,5人,
2448,2014-01-12,5.支出,餐費,360,午餐,4人,
2449,2014-01-12,5.支出,餐費,495,晚餐,495,
2440,2014-01-11,5.支出,餐費,550,中餐,5人,
2441,2014-01-11,5.支出,餐費,600,晚餐,5人,
2436,2014-01-10,5.支出,餐費,396,中餐,4人,
2437,2014-01-10,5.支出,餐費,450,晚餐,5人,
2430,2014-01-09,5.支出,餐費,400,午餐,4人,
2431,2014-01-09,5.支出,餐費,180,晚餐,2人,
2417,2014-01-08,5.支出,餐費,378,午餐,3人,
2418,2014-01-08,5.支出,餐費,360,晚餐,3人,
2393,2014-01-07,5.支出,餐費,332,午餐,3人,
2394,2014-01-07,5.支出,餐費,215,晚餐,3人,
2385,2014-01-06,5.支出,餐費,355,午餐,3人,
2386,2014-01-06,5.支出,餐費,235,晚餐,3人,
2380,2014-01-05,5.支出,餐費,360,午餐,4人,
2381,2014-01-05,5.支出,餐費,477,晚餐,4人,
2362,2014-01-04,5.支出,餐費,275,午餐,3人,
2363,2014-01-04,5.支出,餐費,545,晚餐,5人,
2355,2014-01-03,5.支出,餐費,400,中餐,5人,
2356,2014-01-03,5.支出,餐費,310,晚餐,5人,
2348,2014-01-02,5.支出,餐費,270,午餐,3人,
2349,2014-01-02,5.支出,餐費,426,晚餐,5人,
2344,2014-01-01,5.支出,餐費,276,中餐,2人,
2513,2014-01-21,5.現支,貨款-耳機,163950,久東,進貨單號:1217,1218,
2410,2014-01-08,5.現支,貨款-耳機,83700,久東,進貨單號:1134,
2563,2014-01-29,6.銀支,貨款-耳機,75965,電光火石,進貨單號:1255,1242,1195,1129,
2573,2014-01-29,6.銀支,貨款-耳機,31180,MyEar,進貨單號:1278,1253,1247,1154,
2619,2014-01-28,6.銀支,貨款-耳機,16460,黑曜石,進貨單號:1262,
2514,2014-01-21,6.銀支,貨款-耳機,4539,聚勝,進貨單號:1182,1184,
2424,2014-01-09,6.銀支,貨款-耳機,32655,聚勝,進貨單號:1146,1147,
2399,2014-01-08,6.銀支,貨款-耳機,12054,Sony,進貨單號:1101,
2400,2014-01-08,6.銀支,貨款-耳機,23394,Sony,進貨單號:1120,1121,1122,
2403,2014-01-08,6.銀支,貨款-耳機,24381,Sony,進貨單號:1032,1018,1019,1015,
2404,2014-01-08,6.銀支,貨款-耳機,44058,Sony,進貨單號:995,
2390,2014-01-07,6.銀支,貨款-耳機,6400,黑曜石,進貨單號:1153,
2331,2014-01-02,6.銀支,貨款-耳機,6900,偉商,進貨單號:1089,1005,
2333,2014-01-02,6.銀支,貨款-耳機,94605,AKG,進貨單號:941,921,915,898,880,859,
2334,2014-01-02,6.銀支,貨款-耳機,50880,MyEar,進貨單號:988,917,888,855,843,779,755,
